zone,LocationID,area_miles2,nightlife_count,nightlife_density_per_sq_mile,education_count,education_density_per_sq_mile,healthcare_count,healthcare_density_per_sq_mile,venues_count,venues_density_per_sq_mile,tourism_count,tourism_density_per_sq_mile,hotel_count,hotel_density_per_sq_mile,transit_count,transit_density_per_sq_mile,restaurants_count,restaurant_density_per_sq_mile
Newark Airport,1,30.517191775755958,9.0,0.294915733601345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06553682968918777,13.0,0.42598939297972055,68.0,2.2282522094323842
Jamaica Bay,2,55.56352624377827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allerton/Pelham Gardens,3,12.233623444804033,1.0,0.08174193071348197,6.0,0.49045158428089186,3.0,0.24522579214044593,0.0,0.0,5.0,0.4087096535674099,1.0,0.08174193071348197,2.0,0.16348386142696394,6.0,0.49045158428089186
Alphabet City,4,3.097966416976621,11.0,3.5507163472530996,7.0,2.2595467664337905,9.0,2.905131556843445,4.0,1.2911695808193089,5.0,1.6139619760241362,0.0,0.0,0.0,0.0,33.0,10.6521490417593
Arden Heights,5,19.465206473882073,0.0,0.0,2.0,0.10274743310242046,1.0,0.05137371655121023,2.0,0.10274743310242046,2.0,0.10274743310242046,0.0,0.0,0.0,0.0,5.0,0.2568685827560512
Arrochar/Fort Wadsworth,6,15.804939031882089,0.0,0.0,10.0,0.632713608058074,8.0,0.5061708864464592,0.0,0.0,11.0,0.6959849688638814,2.0,0.1265427216116148,1.0,0.0632713608058074,15.0,0.9490704120871111
Astoria,7,15.1895922726518,53.0,3.4892312478606944,11.0,0.7241800703107102,52.0,3.4233966960142665,6.0,0.3950073110785692,10.0,0.658345518464282,3.0,0.1975036555392846,4.0,0.2633382073857128,315.0,20.73788383162488
Astoria Park,8,1.0358307174840693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9654087131427241,0.0,0.0,0.0,0.0,0.0,0.0
Auburndale,9,13.190817747599853,2.0,0.1516206226383434,4.0,0.3032412452766868,5.0,0.3790515565958585,0.0,0.0,1.0,0.0758103113191717,2.0,0.1516206226383434,1.0,0.0758103113191717,11.0,0.8339134245108886
Baisley Park,10,17.0044113370161,2.0,0.11761653845942284,6.0,0.35284961537826853,2.0,0.11761653845942284,1.0,0.05880826922971142,4.0,0.23523307691884568,8.0,0.47046615383769136,0.0,0.0,18.0,1.0585488461348056
Bath Beach,11,7.928858599581496,0.0,0.0,6.0,0.7567293481960561,7.0,0.8828509062287321,0.0,0.0,1.0,0.12612155803267602,0.0,0.0,0.0,0.0,21.0,2.6485527186861964
Battery Park,12,0.4206822943559444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3770907723392036,2.0,4.754181544678407,0.0,0.0,3.0,7.13127231701761,3.0,7.13127231701761
Battery Park City,13,1.900739938407832,3.0,1.5783327005339671,2.0,1.052221800355978,2.0,1.052221800355978,0.0,0.0,15.0,7.891663502669836,1.0,0.526110900177989,0.0,0.0,36.0,18.939992406407605
Bay Ridge,14,25.91464941856709,20.0,0.7717642510598882,24.0,0.926117101271866,104.0,4.013174105511419,14.0,0.5402349757419218,18.0,0.6945878259538995,1.0,0.03858821255299441,4.0,0.15435285021197764,248.0,9.569876713142614
Bay Terrace/Fort Totten,15,17.87481205548295,0.0,0.0,6.0,0.3356678650033442,3.0,0.1678339325016721,2.0,0.11188928833444807,6.0,0.3356678650033442,0.0,0.0,0.0,0.0,21.0,1.1748375275117047
Bayside,16,31.195732611565038,2.0,0.06411133294746058,10.0,0.3205566647373029,6.0,0.19233399884238173,1.0,0.03205566647373029,10.0,0.3205566647373029,3.0,0.09616699942119086,1.0,0.03205566647373029,37.0,1.1860596595280206
Bedford,17,12.598391367292892,17.0,1.3493786233799874,20.0,1.5875042627999851,16.0,1.2700034102399882,6.0,0.4762512788399955,15.0,1.1906281970999888,1.0,0.07937521313999926,4.0,0.31750085255999705,123.0,9.763151216219908
Bedford Park,18,5.791373613443153,1.0,0.17267060748399354,6.0,1.0360236449039613,11.0,1.8993766823239289,0.0,0.0,9.0,1.5540354673559418,0.0,0.0,4.0,0.6906824299359742,19.0,3.280741542195877
Bellerose,19,21.310996697843663,1.0,0.04692413096292133,7.0,0.3284689167404493,14.0,0.6569378334808986,4.0,0.1876965238516853,16.0,0.7507860954067412,1.0,0.04692413096292133,0.0,0.0,17.0,0.7977102263696626
Belmont,20,5.234307574726197,1.0,0.19104723704592566,15.0,2.8657085556888853,4.0,0.7641889481837026,0.0,0.0,14.0,2.6746613186429595,1.0,0.19104723704592566,2.0,0.3820944740918513,31.0,5.922464348423696
Bensonhurst East,21,13.813603320499103,0.0,0.0,11.0,0.7963164820055478,9.0,0.6515316670954482,0.0,0.0,10.0,0.723924074550498,1.0,0.07239240745504981,4.0,0.28956962982019924,36.0,2.6061266683817927
Bensonhurst West,22,18.018825162146264,0.0,0.0,17.0,0.943457736396344,29.0,1.6094279032643515,2.0,0.11099502781133458,3.0,0.16649254171700187,0.0,0.0,9.0,0.49947762515100563,117.0,6.493209126963073
Bloomfield/Emerson Hill,23,81.66505651679442,1.0,0.012245139385832054,15.0,0.18367709078748082,58.0,0.7102180843782591,6.0,0.07347083631499232,10.0,0.12245139385832053,7.0,0.08571597570082437,0.0,0.0,47.0,0.5755215511341065
Bloomingdale,24,1.6332504785582567,5.0,3.061379785673612,6.0,3.6736557428083345,7.0,4.285931699943057,0.0,0.0,6.0,3.6736557428083345,1.0,0.6122759571347224,0.0,0.0,54.0,33.06290168527501
Boerum Hill,25,4.8441540808326895,24.0,4.954425395955717,29.0,5.986597353446491,38.0,7.844506876929885,16.0,3.302950263970478,12.0,2.4772126979778584,9.0,1.8579095234833938,4.0,0.8257375659926195,134.0,27.662208460752755
Borough Park,26,20.851358733189745,1.0,0.04795850538067188,30.0,1.4387551614201564,13.0,0.6234605699487344,3.0,0.14387551614201566,9.0,0.4316265484260469,1.0,0.04795850538067188,4.0,0.19183402152268753,27.0,1.2948796452781408
Breezy Point/Fort Tilden/Riis Beach,27,28.2211989322237,1.0,0.035434355655888664,0.0,0.0,1.0,0.035434355655888664,1.0,0.035434355655888664,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.31890920090299796
Briarwood/Jamaica Hills,28,11.356303645885086,2.0,0.1761136424636455,14.0,1.2327954972455186,12.0,1.056681854781873,0.0,0.0,6.0,0.5283409273909365,5.0,0.4402841061591138,1.0,0.08805682123182275,33.0,2.905875100650151
Brighton Beach,29,6.633619859505522,2.0,0.3014945146629313,8.0,1.2059780586517252,46.0,6.93437383724742,4.0,0.6029890293258626,8.0,1.2059780586517252,0.0,0.0,2.0,0.3014945146629313,42.0,6.331384807921557
Broad Channel,30,5.697436418938739,0.0,0.0,1.0,0.17551753568954612,0.0,0.0,0.0,0.0,3.0,0.5265526070686384,0.0,0.0,1.0,0.17551753568954612,1.0,0.17551753568954612
Bronx Park,31,12.996036623457261,0.0,0.0,1.0,0.07694653600737358,0.0,0.0,1.0,0.07694653600737358,26.0,2.0006099361917133,0.0,0.0,1.0,0.07694653600737358,6.0,0.4616792160442415
Bronxdale,32,5.870636390665979,0.0,0.0,9.0,1.533053556903908,3.0,0.5110178523013027,0.0,0.0,4.0,0.6813571364017369,0.0,0.0,2.0,0.34067856820086845,12.0,2.044071409205211
Brooklyn Heights,33,4.253977127239559,7.0,1.6455189557030734,23.0,5.406705140167241,32.0,7.522372368928336,9.0,2.1156672287610943,13.0,3.0559637748771364,2.0,0.470148273058021,3.0,0.7052224095870315,98.0,23.037265379843028
Brooklyn Navy Yard,34,4.321549358682944,3.0,0.6941954727353373,0.0,0.0,2.0,0.4627969818235582,0.0,0.0,3.0,0.6941954727353373,0.0,0.0,0.0,0.0,9.0,2.082586418206012
Brownsville,35,12.637401933371835,1.0,0.07913018872647236,15.0,1.1869528308970854,5.0,0.3956509436323618,3.0,0.23739056617941706,19.0,1.5034735858029749,2.0,0.15826037745294472,6.0,0.4747811323588341,11.0,0.870432075991196
Bushwick North,36,9.660018229261034,54.0,5.590051562887253,17.0,1.7598310475756167,15.0,1.5527921008020147,10.0,1.0351947338680099,12.0,1.2422336806416119,1.0,0.10351947338680098,6.0,0.6211168403208059,176.0,18.219427316076974
Bushwick South,37,17.63380924808419,48.0,2.7220437356843314,11.0,0.6238016894276592,11.0,0.6238016894276592,11.0,0.6238016894276592,17.0,0.9640571563882007,6.0,0.34025546696054143,6.0,0.34025546696054143,100.0,5.6709244493423565
Cambria Heights,38,12.770854176656986,0.0,0.0,10.0,0.7830329797577948,3.0,0.23490989392733846,0.0,0.0,6.0,0.46981978785467693,0.0,0.0,0.0,0.0,19.0,1.4877626615398103
Canarsie,39,31.686970722947628,0.0,0.0,15.0,0.47338068795377264,5.0,0.15779356265125755,1.0,0.03155871253025151,8.0,0.2524697002420121,0.0,0.0,1.0,0.03155871253025151,14.0,0.44182197542352114
Carroll Gardens,40,4.250825623419905,16.0,3.763974676318895,17.0,3.9992230935888258,15.0,3.528726259048964,8.0,1.8819873381594474,6.0,1.4114905036195855,0.0,0.0,1.0,0.23524841726993093,74.0,17.408382877974887
Central Harlem,41,5.572622276075676,4.0,0.7177949270261432,16.0,2.871179708104573,13.0,2.3328335128349655,5.0,0.897243658782679,7.0,1.2561411222957506,5.0,0.897243658782679,5.0,0.897243658782679,87.0,15.612039662818615
Central Harlem North,42,9.807419139458897,3.0,0.3058908727505979,27.0,2.7530178547553814,7.0,0.7137453697513951,8.0,0.8157089940015945,22.0,2.2431997335043845,0.0,0.0,4.0,0.40785449700079723,55.0,5.6079993337609615
Central Park,43,14.790415493845648,2.0,0.13522270559824423,1.0,0.06761135279912212,0.0,0.0,6.0,0.40566811679473264,29.0,1.9607292311745412,0.0,0.0,1.0,0.06761135279912212,9.0,0.608502175192099
Charleston/Tottenville,44,56.299118982376854,2.0,0.03552453459575547,10.0,0.17762267297877735,12.0,0.21314720757453282,8.0,0.14209813838302188,9.0,0.15986040568089963,2.0,0.03552453459575547,4.0,0.07104906919151094,62.0,1.1012605724684195
Chinatown,45,2.876577787758663,7.0,2.433447143264697,9.0,3.128717755626039,22.0,7.647976735974762,5.0,1.738176530903355,19.0,6.605070817432749,7.0,2.433447143264697,1.0,0.347635306180671,137.0,47.626036946751924
City Island,46,6.699627566257351,3.0,0.44778608517128454,2.0,0.29852405678085636,3.0,0.44778608517128454,0.0,0.0,6.0,0.8955721703425691,0.0,0.0,2.0,0.29852405678085636,16.0,2.388192454246851
Claremont/Bathgate,47,6.3519657873203865,1.0,0.15743157842508718,12.0,1.889178941101046,3.0,0.4722947352752615,0.0,0.0,11.0,1.731747362675959,0.0,0.0,1.0,0.15743157842508718,6.0,0.944589470550523
Clinton East,48,3.6729233507669274,42.0,11.435033075555513,12.0,3.267152307301575,12.0,3.267152307301575,17.0,4.6284657686772315,6.0,1.6335761536507876,30.0,8.167880768253939,2.0,0.5445253845502626,234.0,63.70946999238072
Clinton Hill,49,7.926566715803439,25.0,3.1539506190185387,18.0,2.270844445693348,24.0,3.027792594257797,8.0,1.0092641980859323,10.0,1.2615802476074154,0.0,0.0,5.0,0.6307901238037077,117.0,14.760488897006761
Clinton West,50,3.4241525444774203,10.0,2.920430637977362,3.0,0.8761291913932086,5.0,1.460215318988681,4.0,1.1681722551909448,6.0,1.752258382786417,5.0,1.460215318988681,1.0,0.2920430637977362,28.0,8.177205786336614
Co-Op City,51,15.396411818643841,0.0,0.0,4.0,0.2598007930105062,1.0,0.06495019825262655,0.0,0.0,0.0,0.0,1.0,0.06495019825262655,1.0,0.06495019825262655,16.0,1.0392031720420247
Cobble Hill,52,1.7634611833523541,5.0,2.835333177277517,6.0,3.4023998127330204,14.0,7.938932896377048,1.0,0.5670666354555034,3.0,1.7011999063665102,0.0,0.0,0.0,0.0,39.0,22.115598782764632
College Point,53,19.54292319739977,1.0,0.05116941769146656,6.0,0.3070165061487994,0.0,0.0,0.0,0.0,6.0,0.3070165061487994,2.0,0.10233883538293312,0.0,0.0,7.0,0.35818592384026593
Columbia Street,54,2.3990173654258973,3.0,1.2505119984687607,1.0,0.41683733282292024,1.0,0.41683733282292024,3.0,1.2505119984687607,2.0,0.8336746656458405,0.0,0.0,0.0,0.0,13.0,5.418885326697963
Coney Island,55,18.330972030052326,5.0,0.27276240407780095,11.0,0.6000772889711621,14.0,0.7637347314178426,6.0,0.32731488489336114,46.0,2.5094141175157687,0.0,0.0,3.0,0.16365744244668057,61.0,3.3277013297491718
Corona,56,7.051878602066136,1.0,0.14180618476713555,8.0,1.1344494781370844,11.0,1.559868032438491,0.0,0.0,7.0,0.9926432933699488,4.0,0.5672247390685422,0.0,0.0,34.0,4.821410282082609
Corona,56,0.7025517514702188,1.0,1.4233826873355822,8.0,11.387061498684657,11.0,15.657209560691404,0.0,0.0,7.0,9.963678811349075,4.0,5.693530749342329,0.0,0.0,34.0,48.395011369409794
Country Club,58,5.136553484840658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19468306967916663
Crotona Park,59,2.4474217117701156,0.0,0.0,1.0,0.40859325354139425,0.0,0.0,0.0,0.0,1.0,0.40859325354139425,0.0,0.0,0.0,0.0,0.0,0.0
Crotona Park East,60,6.299670007283172,0.0,0.0,6.0,0.9524308405143892,3.0,0.4762154202571946,0.0,0.0,8.0,1.2699077873525189,0.0,0.0,1.0,0.15873847341906486,7.0,1.111169313933454
Crown Heights North,61,19.929974968450566,21.0,1.0536892310824926,31.0,1.5554460077884413,24.0,1.2042162640942773,6.0,0.3010540660235693,19.0,0.9533378757413028,8.0,0.40140542136475904,7.0,0.35122974369416415,155.0,7.777230038942207
Crown Heights South,62,6.175073214713697,4.0,0.6477655990327327,10.0,1.6194139975818316,7.0,1.1335897983072822,2.0,0.32388279951636634,4.0,0.6477655990327327,0.0,0.0,3.0,0.4858241992745495,35.0,5.66794899153641
Cypress Hills,63,13.77935460446902,0.0,0.0,8.0,0.5805787157408215,1.0,0.07257233946760269,1.0,0.07257233946760269,6.0,0.43543403680561615,0.0,0.0,7.0,0.5080063762732189,11.0,0.7982957341436296
Douglaston,64,36.596806580597345,0.0,0.0,9.0,0.24592309660077175,3.0,0.08197436553359058,2.0,0.054649577022393724,19.0,0.5191709817127403,0.0,0.0,2.0,0.054649577022393724,11.0,0.3005726736231655
Downtown Brooklyn/MetroTech,65,3.190940679416372,6.0,1.8803232660211688,17.0,5.327582587059978,6.0,1.8803232660211688,1.0,0.3133872110035281,13.0,4.074033743045866,8.0,2.507097688028225,4.0,1.2535488440141125,68.0,21.310330348239912
DUMBO/Vinegar Hill,66,2.961065700676076,6.0,2.026297491011452,9.0,3.039446236517178,2.0,0.6754324970038174,7.0,2.3640137395133607,14.0,4.728027479026721,0.0,0.0,1.0,0.3377162485019087,50.0,16.885812425095434
Dyker Heights,67,15.397181168957967,0.0,0.0,9.0,0.5845225759988308,5.0,0.3247347644437949,0.0,0.0,4.0,0.2597878115550359,1.0,0.06494695288875897,0.0,0.0,22.0,1.4288329635526975
East Chelsea,68,4.32924338702792,22.0,5.081719375242443,13.0,3.0028341762796256,12.0,2.7718469319504235,16.0,3.6957959092672317,10.0,2.3098724432920195,25.0,5.774681108230049,3.0,0.6929617329876059,159.0,36.72697184834311
