dropoff_zone,pickup_day_of_week,pickup_hour,dropoff_zone_hotness
Allerton/Pelham Gardens,0,0,3
Allerton/Pelham Gardens,0,1,9
Allerton/Pelham Gardens,0,2,4
Allerton/Pelham Gardens,0,3,3
Allerton/Pelham Gardens,0,4,5
Allerton/Pelham Gardens,0,5,1
Allerton/Pelham Gardens,0,8,1
Allerton/Pelham Gardens,0,11,2
Allerton/Pelham Gardens,0,12,3
Allerton/Pelham Gardens,0,13,5
Allerton/Pelham Gardens,0,14,6
Allerton/Pelham Gardens,0,15,2
Allerton/Pelham Gardens,0,16,1
Allerton/Pelham Gardens,0,17,5
Allerton/Pelham Gardens,0,18,8
Allerton/Pelham Gardens,0,19,3
Allerton/Pelham Gardens,0,20,3
Allerton/Pelham Gardens,0,21,5
Allerton/Pelham Gardens,0,22,7
Allerton/Pelham Gardens,0,23,7
Allerton/Pelham Gardens,1,0,5
Allerton/Pelham Gardens,1,1,1
Allerton/Pelham Gardens,1,2,4
Allerton/Pelham Gardens,1,3,2
Allerton/Pelham Gardens,1,4,5
Allerton/Pelham Gardens,1,5,2
Allerton/Pelham Gardens,1,10,3
Allerton/Pelham Gardens,1,11,1
Allerton/Pelham Gardens,1,12,5
Allerton/Pelham Gardens,1,13,3
Allerton/Pelham Gardens,1,14,5
Allerton/Pelham Gardens,1,15,5
Allerton/Pelham Gardens,1,16,6
Allerton/Pelham Gardens,1,17,4
Allerton/Pelham Gardens,1,18,4
Allerton/Pelham Gardens,1,19,3
Allerton/Pelham Gardens,1,20,5
Allerton/Pelham Gardens,1,21,5
Allerton/Pelham Gardens,1,22,4
Allerton/Pelham Gardens,1,23,3
Allerton/Pelham Gardens,2,0,4
Allerton/Pelham Gardens,2,1,2
Allerton/Pelham Gardens,2,2,4
Allerton/Pelham Gardens,2,3,2
Allerton/Pelham Gardens,2,4,2
Allerton/Pelham Gardens,2,6,1
Allerton/Pelham Gardens,2,9,1
Allerton/Pelham Gardens,2,11,4
Allerton/Pelham Gardens,2,12,3
Allerton/Pelham Gardens,2,13,3
Allerton/Pelham Gardens,2,14,4
Allerton/Pelham Gardens,2,15,7
Allerton/Pelham Gardens,2,16,2
Allerton/Pelham Gardens,2,17,2
Allerton/Pelham Gardens,2,18,4
Allerton/Pelham Gardens,2,19,3
Allerton/Pelham Gardens,2,20,5
Allerton/Pelham Gardens,2,21,5
Allerton/Pelham Gardens,2,22,2
Allerton/Pelham Gardens,2,23,3
Allerton/Pelham Gardens,3,0,2
Allerton/Pelham Gardens,3,1,2
Allerton/Pelham Gardens,3,2,3
Allerton/Pelham Gardens,3,3,1
Allerton/Pelham Gardens,3,4,3
Allerton/Pelham Gardens,3,5,1
Allerton/Pelham Gardens,3,6,1
Allerton/Pelham Gardens,3,10,1
Allerton/Pelham Gardens,3,11,2
Allerton/Pelham Gardens,3,12,3
Allerton/Pelham Gardens,3,13,3
Allerton/Pelham Gardens,3,14,3
Allerton/Pelham Gardens,3,15,3
Allerton/Pelham Gardens,3,16,2
Allerton/Pelham Gardens,3,17,4
Allerton/Pelham Gardens,3,18,4
Allerton/Pelham Gardens,3,19,2
Allerton/Pelham Gardens,3,20,1
Allerton/Pelham Gardens,3,21,3
Allerton/Pelham Gardens,3,22,1
Allerton/Pelham Gardens,3,23,1
Allerton/Pelham Gardens,4,0,2
Allerton/Pelham Gardens,4,1,3
Allerton/Pelham Gardens,4,2,1
Allerton/Pelham Gardens,4,3,2
Allerton/Pelham Gardens,4,4,2
Allerton/Pelham Gardens,4,7,1
Allerton/Pelham Gardens,4,10,1
Allerton/Pelham Gardens,4,11,1
Allerton/Pelham Gardens,4,12,3
Allerton/Pelham Gardens,4,13,5
Allerton/Pelham Gardens,4,14,4
Allerton/Pelham Gardens,4,15,6
Allerton/Pelham Gardens,4,16,4
Allerton/Pelham Gardens,4,17,1
Allerton/Pelham Gardens,4,18,3
Allerton/Pelham Gardens,4,19,2
Allerton/Pelham Gardens,4,20,4
Allerton/Pelham Gardens,4,21,1
Allerton/Pelham Gardens,4,22,1
Allerton/Pelham Gardens,4,23,2
Allerton/Pelham Gardens,5,0,5
Allerton/Pelham Gardens,5,1,4
Allerton/Pelham Gardens,5,2,4
Allerton/Pelham Gardens,5,3,1
Allerton/Pelham Gardens,5,4,2
Allerton/Pelham Gardens,5,5,2
Allerton/Pelham Gardens,5,6,1
Allerton/Pelham Gardens,5,7,3
Allerton/Pelham Gardens,5,8,2
Allerton/Pelham Gardens,5,10,1
Allerton/Pelham Gardens,5,12,2
Allerton/Pelham Gardens,5,13,2
Allerton/Pelham Gardens,5,14,2
Allerton/Pelham Gardens,5,15,3
Allerton/Pelham Gardens,5,17,2
Allerton/Pelham Gardens,5,18,4
Allerton/Pelham Gardens,5,19,3
Allerton/Pelham Gardens,5,20,5
Allerton/Pelham Gardens,5,21,5
Allerton/Pelham Gardens,5,22,5
Allerton/Pelham Gardens,5,23,4
Allerton/Pelham Gardens,6,0,4
Allerton/Pelham Gardens,6,1,2
Allerton/Pelham Gardens,6,2,1
Allerton/Pelham Gardens,6,3,2
Allerton/Pelham Gardens,6,4,3
Allerton/Pelham Gardens,6,8,2
Allerton/Pelham Gardens,6,11,2
Allerton/Pelham Gardens,6,13,2
Allerton/Pelham Gardens,6,14,4
Allerton/Pelham Gardens,6,15,3
Allerton/Pelham Gardens,6,16,5
Allerton/Pelham Gardens,6,17,1
Allerton/Pelham Gardens,6,19,3
Allerton/Pelham Gardens,6,20,3
Allerton/Pelham Gardens,6,21,3
Allerton/Pelham Gardens,6,22,4
Allerton/Pelham Gardens,6,23,7
Alphabet City,0,0,195
Alphabet City,0,1,232
Alphabet City,0,2,168
Alphabet City,0,3,148
Alphabet City,0,4,97
Alphabet City,0,5,53
Alphabet City,0,6,25
Alphabet City,0,7,18
Alphabet City,0,8,7
Alphabet City,0,9,9
Alphabet City,0,10,26
Alphabet City,0,11,39
Alphabet City,0,12,57
Alphabet City,0,13,44
Alphabet City,0,14,69
Alphabet City,0,15,71
Alphabet City,0,16,85
Alphabet City,0,17,98
Alphabet City,0,18,122
Alphabet City,0,19,131
Alphabet City,0,20,142
Alphabet City,0,21,181
Alphabet City,0,22,206
Alphabet City,0,23,203
Alphabet City,1,0,195
Alphabet City,1,1,184
Alphabet City,1,2,173
Alphabet City,1,3,139
Alphabet City,1,4,78
Alphabet City,1,5,48
Alphabet City,1,6,23
Alphabet City,1,7,17
Alphabet City,1,8,10
Alphabet City,1,9,5
Alphabet City,1,10,20
Alphabet City,1,11,50
Alphabet City,1,12,67
Alphabet City,1,13,41
Alphabet City,1,14,62
Alphabet City,1,15,68
Alphabet City,1,16,85
Alphabet City,1,17,82
Alphabet City,1,18,104
Alphabet City,1,19,113
Alphabet City,1,20,159
Alphabet City,1,21,216
Alphabet City,1,22,236
Alphabet City,1,23,239
Alphabet City,2,0,197
Alphabet City,2,1,217
Alphabet City,2,2,193
Alphabet City,2,3,164
Alphabet City,2,4,103
Alphabet City,2,5,53
Alphabet City,2,6,26
Alphabet City,2,7,19
Alphabet City,2,8,9
Alphabet City,2,9,6
Alphabet City,2,10,31
Alphabet City,2,11,42
Alphabet City,2,12,37
Alphabet City,2,13,59
Alphabet City,2,14,55
Alphabet City,2,15,72
Alphabet City,2,16,95
Alphabet City,2,17,112
Alphabet City,2,18,105
Alphabet City,2,19,114
Alphabet City,2,20,148
Alphabet City,2,21,231
Alphabet City,2,22,247
Alphabet City,2,23,242
Alphabet City,3,0,220
Alphabet City,3,1,219
Alphabet City,3,2,228
Alphabet City,3,3,181
Alphabet City,3,4,144
Alphabet City,3,5,78
Alphabet City,3,6,32
Alphabet City,3,7,18
Alphabet City,3,8,9
Alphabet City,3,9,10
Alphabet City,3,10,24
Alphabet City,3,11,43
Alphabet City,3,12,72
Alphabet City,3,13,61
Alphabet City,3,14,67
Alphabet City,3,15,99
Alphabet City,3,16,107
Alphabet City,3,17,113
Alphabet City,3,18,125
Alphabet City,3,19,186
Alphabet City,3,20,172
Alphabet City,3,21,222
Alphabet City,3,22,298
Alphabet City,3,23,310
Alphabet City,4,0,255
Alphabet City,4,1,277
Alphabet City,4,2,311
Alphabet City,4,3,294
Alphabet City,4,4,209
Alphabet City,4,5,145
Alphabet City,4,6,84
Alphabet City,4,7,38
Alphabet City,4,8,19
Alphabet City,4,9,12
Alphabet City,4,10,20
Alphabet City,4,11,51
Alphabet City,4,12,61
Alphabet City,4,13,68
Alphabet City,4,14,76
Alphabet City,4,15,88
Alphabet City,4,16,106
Alphabet City,4,17,115
Alphabet City,4,18,152
