dropoff_zone,pickup_day_of_week,pickup_hour,dropoff_zone_hotness
Allerton/Pelham Gardens,0,0,4
Allerton/Pelham Gardens,0,1,10
Allerton/Pelham Gardens,0,2,5
Allerton/Pelham Gardens,0,3,3
Allerton/Pelham Gardens,0,4,6
Allerton/Pelham Gardens,0,5,1
Allerton/Pelham Gardens,0,8,1
Allerton/Pelham Gardens,0,9,1
Allerton/Pelham Gardens,0,10,1
Allerton/Pelham Gardens,0,11,3
Allerton/Pelham Gardens,0,12,2
Allerton/Pelham Gardens,0,13,7
Allerton/Pelham Gardens,0,14,4
Allerton/Pelham Gardens,0,15,5
Allerton/Pelham Gardens,0,16,3
Allerton/Pelham Gardens,0,17,6
Allerton/Pelham Gardens,0,18,10
Allerton/Pelham Gardens,0,19,3
Allerton/Pelham Gardens,0,20,3
Allerton/Pelham Gardens,0,21,3
Allerton/Pelham Gardens,0,22,3
Allerton/Pelham Gardens,0,23,9
Allerton/Pelham Gardens,1,0,7
Allerton/Pelham Gardens,1,1,4
Allerton/Pelham Gardens,1,2,3
Allerton/Pelham Gardens,1,3,2
Allerton/Pelham Gardens,1,4,5
Allerton/Pelham Gardens,1,5,2
Allerton/Pelham Gardens,1,9,2
Allerton/Pelham Gardens,1,10,4
Allerton/Pelham Gardens,1,12,5
Allerton/Pelham Gardens,1,13,5
Allerton/Pelham Gardens,1,14,6
Allerton/Pelham Gardens,1,15,6
Allerton/Pelham Gardens,1,16,7
Allerton/Pelham Gardens,1,17,3
Allerton/Pelham Gardens,1,18,2
Allerton/Pelham Gardens,1,19,3
Allerton/Pelham Gardens,1,20,4
Allerton/Pelham Gardens,1,21,3
Allerton/Pelham Gardens,1,22,2
Allerton/Pelham Gardens,1,23,1
Allerton/Pelham Gardens,2,0,5
Allerton/Pelham Gardens,2,2,6
Allerton/Pelham Gardens,2,3,4
Allerton/Pelham Gardens,2,4,3
Allerton/Pelham Gardens,2,11,3
Allerton/Pelham Gardens,2,12,4
Allerton/Pelham Gardens,2,13,3
Allerton/Pelham Gardens,2,14,6
Allerton/Pelham Gardens,2,15,6
Allerton/Pelham Gardens,2,16,6
Allerton/Pelham Gardens,2,17,6
Allerton/Pelham Gardens,2,18,5
Allerton/Pelham Gardens,2,19,4
Allerton/Pelham Gardens,2,20,7
Allerton/Pelham Gardens,2,21,2
Allerton/Pelham Gardens,2,22,1
Allerton/Pelham Gardens,2,23,5
Allerton/Pelham Gardens,3,0,3
Allerton/Pelham Gardens,3,1,5
Allerton/Pelham Gardens,3,2,3
Allerton/Pelham Gardens,3,4,2
Allerton/Pelham Gardens,3,5,1
Allerton/Pelham Gardens,3,6,1
Allerton/Pelham Gardens,3,9,1
Allerton/Pelham Gardens,3,10,2
Allerton/Pelham Gardens,3,11,3
Allerton/Pelham Gardens,3,12,4
Allerton/Pelham Gardens,3,13,5
Allerton/Pelham Gardens,3,15,3
Allerton/Pelham Gardens,3,16,3
Allerton/Pelham Gardens,3,17,7
Allerton/Pelham Gardens,3,18,4
Allerton/Pelham Gardens,3,19,2
Allerton/Pelham Gardens,3,20,2
Allerton/Pelham Gardens,3,22,5
Allerton/Pelham Gardens,3,23,4
Allerton/Pelham Gardens,4,0,5
Allerton/Pelham Gardens,4,2,1
Allerton/Pelham Gardens,4,3,2
Allerton/Pelham Gardens,4,4,1
Allerton/Pelham Gardens,4,5,1
Allerton/Pelham Gardens,4,6,1
Allerton/Pelham Gardens,4,7,1
Allerton/Pelham Gardens,4,12,3
Allerton/Pelham Gardens,4,13,4
Allerton/Pelham Gardens,4,14,3
Allerton/Pelham Gardens,4,15,5
Allerton/Pelham Gardens,4,16,8
Allerton/Pelham Gardens,4,17,1
Allerton/Pelham Gardens,4,18,3
Allerton/Pelham Gardens,4,19,2
Allerton/Pelham Gardens,4,20,5
Allerton/Pelham Gardens,4,21,2
Allerton/Pelham Gardens,4,22,3
Allerton/Pelham Gardens,4,23,3
Allerton/Pelham Gardens,5,0,7
Allerton/Pelham Gardens,5,1,3
Allerton/Pelham Gardens,5,2,3
Allerton/Pelham Gardens,5,3,2
Allerton/Pelham Gardens,5,4,2
Allerton/Pelham Gardens,5,6,2
Allerton/Pelham Gardens,5,7,1
Allerton/Pelham Gardens,5,8,3
Allerton/Pelham Gardens,5,12,1
Allerton/Pelham Gardens,5,13,4
Allerton/Pelham Gardens,5,14,3
Allerton/Pelham Gardens,5,15,2
Allerton/Pelham Gardens,5,16,2
Allerton/Pelham Gardens,5,17,2
Allerton/Pelham Gardens,5,18,3
Allerton/Pelham Gardens,5,19,1
Allerton/Pelham Gardens,5,20,4
Allerton/Pelham Gardens,5,21,8
Allerton/Pelham Gardens,5,22,12
Allerton/Pelham Gardens,5,23,7
Allerton/Pelham Gardens,6,0,4
Allerton/Pelham Gardens,6,1,3
Allerton/Pelham Gardens,6,2,3
Allerton/Pelham Gardens,6,3,6
Allerton/Pelham Gardens,6,4,1
Allerton/Pelham Gardens,6,6,1
Allerton/Pelham Gardens,6,7,2
Allerton/Pelham Gardens,6,8,4
Allerton/Pelham Gardens,6,11,1
Allerton/Pelham Gardens,6,13,3
Allerton/Pelham Gardens,6,14,5
Allerton/Pelham Gardens,6,15,4
Allerton/Pelham Gardens,6,16,3
Allerton/Pelham Gardens,6,17,2
Allerton/Pelham Gardens,6,18,2
Allerton/Pelham Gardens,6,20,4
Allerton/Pelham Gardens,6,21,2
Allerton/Pelham Gardens,6,22,6
Allerton/Pelham Gardens,6,23,8
Alphabet City,0,0,184
Alphabet City,0,1,195
Alphabet City,0,2,174
Alphabet City,0,3,114
Alphabet City,0,4,79
Alphabet City,0,5,52
Alphabet City,0,6,23
Alphabet City,0,7,16
Alphabet City,0,8,3
Alphabet City,0,9,7
Alphabet City,0,10,26
Alphabet City,0,11,31
Alphabet City,0,12,51
Alphabet City,0,13,43
Alphabet City,0,14,66
Alphabet City,0,15,62
Alphabet City,0,16,86
Alphabet City,0,17,96
Alphabet City,0,18,105
Alphabet City,0,19,131
Alphabet City,0,20,141
Alphabet City,0,21,163
Alphabet City,0,22,205
Alphabet City,0,23,177
Alphabet City,1,0,171
Alphabet City,1,1,163
Alphabet City,1,2,161
Alphabet City,1,3,131
Alphabet City,1,4,89
Alphabet City,1,5,45
Alphabet City,1,6,21
Alphabet City,1,7,12
Alphabet City,1,8,10
Alphabet City,1,9,7
Alphabet City,1,10,27
Alphabet City,1,11,50
Alphabet City,1,12,38
Alphabet City,1,13,50
Alphabet City,1,14,68
Alphabet City,1,15,79
Alphabet City,1,16,82
Alphabet City,1,17,76
Alphabet City,1,18,126
Alphabet City,1,19,118
Alphabet City,1,20,151
Alphabet City,1,21,226
Alphabet City,1,22,271
Alphabet City,1,23,204
Alphabet City,2,0,192
Alphabet City,2,1,191
Alphabet City,2,2,188
Alphabet City,2,3,154
Alphabet City,2,4,122
Alphabet City,2,5,51
Alphabet City,2,6,24
Alphabet City,2,7,17
Alphabet City,2,8,11
Alphabet City,2,9,9
Alphabet City,2,10,32
Alphabet City,2,11,35
Alphabet City,2,12,48
Alphabet City,2,13,52
Alphabet City,2,14,48
Alphabet City,2,15,90
Alphabet City,2,16,97
Alphabet City,2,17,77
Alphabet City,2,18,115
Alphabet City,2,19,131
Alphabet City,2,20,144
Alphabet City,2,21,228
Alphabet City,2,22,227
Alphabet City,2,23,254
Alphabet City,3,0,226
Alphabet City,3,1,214
Alphabet City,3,2,227
Alphabet City,3,3,212
Alphabet City,3,4,105
Alphabet City,3,5,69
Alphabet City,3,6,38
Alphabet City,3,7,23
Alphabet City,3,8,8
Alphabet City,3,9,14
Alphabet City,3,10,18
Alphabet City,3,11,29
Alphabet City,3,12,55
Alphabet City,3,13,58
Alphabet City,3,14,73
Alphabet City,3,15,92
Alphabet City,3,16,92
Alphabet City,3,17,95
Alphabet City,3,18,121
Alphabet City,3,19,161
Alphabet City,3,20,194
Alphabet City,3,21,219
Alphabet City,3,22,293
Alphabet City,3,23,289
Alphabet City,4,0,232
Alphabet City,4,1,235
Alphabet City,4,2,288
Alphabet City,4,3,216
Alphabet City,4,4,163
Alphabet City,4,5,102
Alphabet City,4,6,58
Alphabet City,4,7,36
Alphabet City,4,8,13
Alphabet City,4,9,7
Alphabet City,4,10,14
Alphabet City,4,11,44
Alphabet City,4,12,41
Alphabet City,4,13,58
Alphabet City,4,14,67
Alphabet City,4,15,78
Alphabet City,4,16,81
Alphabet City,4,17,102
Alphabet City,4,18,127
Alphabet City,4,19,141
Alphabet City,4,20,145
Alphabet City,4,21,199
Alphabet City,4,22,240
Alphabet City,4,23,215
Alphabet City,5,0,220
Alphabet City,5,1,223
Alphabet City,5,2,279
Alphabet City,5,3,342
Alphabet City,5,4,377
Alphabet City,5,5,335
Alphabet City,5,6,231
Alphabet City,5,7,136
Alphabet City,5,8,74
Alphabet City,5,9,21
Alphabet City,5,10,21
Alphabet City,5,11,31
Alphabet City,5,12,30
Alphabet City,5,13,51
Alphabet City,5,14,82
Alphabet City,5,15,91
Alphabet City,5,16,125
Alphabet City,5,17,134
Alphabet City,5,18,149
Alphabet City,5,19,141
Alphabet City,5,20,172
Alphabet City,5,21,189
Alphabet City,5,22,232
Alphabet City,5,23,251
Alphabet City,6,0,236
Alphabet City,6,1,243
Alphabet City,6,2,278
Alphabet City,6,3,350
Alphabet City,6,4,366
Alphabet City,6,5,340
Alphabet City,6,6,244
Alphabet City,6,7,153
Alphabet City,6,8,71
Alphabet City,6,9,24
Alphabet City,6,10,17
Alphabet City,6,11,18
Alphabet City,6,12,28
Alphabet City,6,13,62
Alphabet City,6,14,75
Alphabet City,6,15,84
Alphabet City,6,16,114
Alphabet City,6,17,115
Alphabet City,6,18,128
Alphabet City,6,19,146
Alphabet City,6,20,169
Alphabet City,6,21,198
Alphabet City,6,22,212
Alphabet City,6,23,164
Arden Heights,0,1,1
Arden Heights,0,2,2
Arden Heights,0,16,1
Arden Heights,0,18,2
Arden Heights,0,19,1
Arden Heights,0,20,1
Arden Heights,0,21,1
Arden Heights,0,22,1
Arden Heights,1,1,1
Arden Heights,1,2,1
Arden Heights,1,3,1
Arden Heights,1,15,1
Arden Heights,1,17,1
Arden Heights,1,20,1
Arden Heights,1,21,1
Arden Heights,1,23,1
Arden Heights,2,15,1
Arden Heights,2,16,1
Arden Heights,2,21,2
Arden Heights,2,23,1
Arden Heights,3,1,2
Arden Heights,3,15,1
Arden Heights,3,16,1
Arden Heights,3,18,1
Arden Heights,3,22,1
Arden Heights,4,4,2
Arden Heights,4,14,1
Arden Heights,4,16,2
Arden Heights,4,21,3
Arden Heights,4,23,1
Arden Heights,5,17,1
Arden Heights,5,23,2
Arden Heights,6,1,1
Arden Heights,6,2,1
Arden Heights,6,4,1
Arden Heights,6,18,1
Arden Heights,6,20,2
Arrochar/Fort Wadsworth,0,1,1
Arrochar/Fort Wadsworth,0,10,1
Arrochar/Fort Wadsworth,0,13,1
Arrochar/Fort Wadsworth,0,14,1
Arrochar/Fort Wadsworth,0,16,1
Arrochar/Fort Wadsworth,0,20,1
Arrochar/Fort Wadsworth,0,21,1
Arrochar/Fort Wadsworth,0,22,1
Arrochar/Fort Wadsworth,1,0,1
Arrochar/Fort Wadsworth,1,1,1
Arrochar/Fort Wadsworth,1,2,1
Arrochar/Fort Wadsworth,1,4,1
Arrochar/Fort Wadsworth,1,14,1
Arrochar/Fort Wadsworth,2,1,1
Arrochar/Fort Wadsworth,2,2,2
Arrochar/Fort Wadsworth,2,5,1
Arrochar/Fort Wadsworth,2,22,3
Arrochar/Fort Wadsworth,3,0,1
Arrochar/Fort Wadsworth,3,1,1
Arrochar/Fort Wadsworth,3,2,2
Arrochar/Fort Wadsworth,3,4,2
Arrochar/Fort Wadsworth,3,17,1
Arrochar/Fort Wadsworth,3,19,1
Arrochar/Fort Wadsworth,4,0,2
Arrochar/Fort Wadsworth,4,1,1
Arrochar/Fort Wadsworth,4,6,1
Arrochar/Fort Wadsworth,4,22,1
Arrochar/Fort Wadsworth,5,0,1
Arrochar/Fort Wadsworth,5,3,1
Arrochar/Fort Wadsworth,5,6,1
Arrochar/Fort Wadsworth,5,7,1
Arrochar/Fort Wadsworth,5,9,1
Arrochar/Fort Wadsworth,5,16,1
Arrochar/Fort Wadsworth,5,23,1
Arrochar/Fort Wadsworth,6,5,1
Arrochar/Fort Wadsworth,6,6,1
Arrochar/Fort Wadsworth,6,10,1
Arrochar/Fort Wadsworth,6,13,1
Arrochar/Fort Wadsworth,6,20,1
Astoria,0,0,144
Astoria,0,1,187
Astoria,0,2,214
Astoria,0,3,241
Astoria,0,4,150
Astoria,0,5,80
Astoria,0,6,40
Astoria,0,7,27
Astoria,0,8,20
Astoria,0,9,18
Astoria,0,10,34
Astoria,0,11,38
Astoria,0,12,55
Astoria,0,13,52
Astoria,0,14,70
Astoria,0,15,60
Astoria,0,16,79
Astoria,0,17,83
Astoria,0,18,102
Astoria,0,19,92
Astoria,0,20,88
Astoria,0,21,100
Astoria,0,22,99
Astoria,0,23,123
Astoria,1,0,148
Astoria,1,1,160
Astoria,1,2,136
Astoria,1,3,187
Astoria,1,4,181
Astoria,1,5,62
Astoria,1,6,43
Astoria,1,7,24
Astoria,1,8,14
Astoria,1,9,10
Astoria,1,10,30
Astoria,1,11,26
Astoria,1,12,44
Astoria,1,13,51
Astoria,1,14,47
Astoria,1,15,56
Astoria,1,16,64
Astoria,1,17,74
Astoria,1,18,93
Astoria,1,19,93
Astoria,1,20,105
Astoria,1,21,103
Astoria,1,22,132
Astoria,1,23,121
Astoria,2,0,189
Astoria,2,1,181
Astoria,2,2,220
Astoria,2,3,208
Astoria,2,4,191
Astoria,2,5,83
Astoria,2,6,36
Astoria,2,7,15
Astoria,2,8,11
Astoria,2,9,9
Astoria,2,10,21
Astoria,2,11,31
Astoria,2,12,35
Astoria,2,13,42
Astoria,2,14,70
Astoria,2,15,75
Astoria,2,16,67
Astoria,2,17,98
Astoria,2,18,93
Astoria,2,19,86
Astoria,2,20,123
Astoria,2,21,192
Astoria,2,22,138
Astoria,2,23,130
Astoria,3,0,178
Astoria,3,1,199
Astoria,3,2,200
Astoria,3,3,248
Astoria,3,4,223
Astoria,3,5,93
Astoria,3,6,55
Astoria,3,7,26
Astoria,3,8,22
Astoria,3,9,15
Astoria,3,10,19
Astoria,3,11,26
Astoria,3,12,33
Astoria,3,13,59
Astoria,3,14,55
Astoria,3,15,49
Astoria,3,16,69
Astoria,3,17,81
Astoria,3,18,96
Astoria,3,19,85
Astoria,3,20,81
Astoria,3,21,99
Astoria,3,22,141
Astoria,3,23,141
Astoria,4,0,169
Astoria,4,1,204
Astoria,4,2,233
Astoria,4,3,267
Astoria,4,4,186
Astoria,4,5,132
Astoria,4,6,104
Astoria,4,7,40
Astoria,4,8,36
Astoria,4,9,24
Astoria,4,10,25
Astoria,4,11,38
Astoria,4,12,36
Astoria,4,13,39
Astoria,4,14,48
Astoria,4,15,71
Astoria,4,16,59
Astoria,4,17,72
Astoria,4,18,95
Astoria,4,19,85
Astoria,4,20,88
Astoria,4,21,97
Astoria,4,22,99
Astoria,4,23,118
Astoria,5,0,135
Astoria,5,1,142
Astoria,5,2,158
Astoria,5,3,258
Astoria,5,4,303
Astoria,5,5,234
Astoria,5,6,201
Astoria,5,7,119
Astoria,5,8,91
Astoria,5,9,33
Astoria,5,10,39
Astoria,5,11,34
Astoria,5,12,46
Astoria,5,13,55
Astoria,5,14,80
Astoria,5,15,85
Astoria,5,16,65
Astoria,5,17,111
Astoria,5,18,110
Astoria,5,19,103
Astoria,5,20,120
